occupation,employment,year
Personal care aides,1458,2019
Recreation and fitness workers,440,2019
Residential advisors,30,2019
"Personal care and service workers, all other",178,2019
Sales and office occupations,33370,2019
Sales and related occupations,15582,2019
First-line supervisors of retail sales workers,3232,2019
First-line supervisors of non-retail sales workers,1247,2019
Cashiers,3164,2019
Counter and rental clerks,97,2019
Parts salespersons,142,2019
Retail salespersons,3105,2019
Advertising sales agents,190,2019
Insurance sales agents,595,2019
"Securities, commodities, and financial services sales agents",231,2019
Travel agents,82,2019
"Sales representatives, services, all other",557,2019
"Sales representatives, wholesale and manufacturing",1281,2019
"Models, demonstrators, and product promoters",62,2019
Real estate brokers and sales agents,1095,2019
Sales engineers,35,2019
Telemarketers,49,2019
"Door-to-door sales workers, news and street vendors, and related workers",135,2019
"Sales and related workers, all other",284,2019
Office and administrative support occupations,17789,2019
First-line supervisors of office and administrative support workers,1306,2019
"Switchboard operators, including answering service",21,2019
Telephone operators,42,2019
"Communications equipment operators, all other",12,2019
Bill and account collectors,116,2019
Billing and posting clerks,459,2019
"Bookkeeping, accounting, and auditing clerks",1015,2019
Gaming cage workers,13,2019
Payroll and timekeeping clerks,155,2019
Procurement clerks,29,2019
Tellers,294,2019
"Financial clerks, all other",119,2019
Brokerage clerks,3,2019
Correspondence clerks,5,2019
"Court, municipal, and license clerks",95,2019
"Credit authorizers, checkers, and clerks",41,2019
Customer service representatives,2552,2019
"Eligibility interviewers, government programs",70,2019
File clerks,175,2019
"Hotel, motel, and resort desk clerks",116,2019
"Interviewers, except eligibility and loan",131,2019
"Library assistants, clerical",88,2019
Loan interviewers and clerks,116,2019
New accounts clerks,22,2019
Order clerks,112,2019
"Human resources assistants, except payroll and timekeeping",60,2019
Receptionists and information clerks,1288,2019
Reservation and transportation ticket agents and travel clerks,119,2019
"Information and record clerks, all other",99,2019
Cargo and freight agents,20,2019
Couriers and messengers,402,2019
Dispatchers,261,2019
"Meter readers, utilities",17,2019
Postal service clerks,96,2019
Postal service mail carriers,331,2019
"Postal service mail sorters, processors, and processing machine operators",76,2019
"Production, planning, and expediting clerks",297,2019
"Shipping, receiving, and traffic clerks",563,2019
Stock clerks and order fillers,1512,2019
"Weighers, measurers, checkers, and samplers, recordkeeping",66,2019
Secretaries and administrative assistants,2688,2019
Computer operators,72,2019
Data entry keyers,250,2019
Word processors and typists,57,2019
Desktop publishers,0,2019
Insurance claims and policy processing clerks,269,2019
"Mail clerks and mail machine operators, except postal service",68,2019
"Office clerks, general",1355,2019
"Office machine operators, except computer",32,2019
Proofreaders and copy markers,7,2019
Statistical assistants,58,2019
"Office and administrative support workers, all other",618,2019
"Natural resources, construction, and maintenance occupations",14343,2019
"Farming, fishing, and forestry occupations",1156,2019
"First-line supervisors of farming, fishing, and forestry workers",51,2019
Agricultural inspectors,18,2019
Animal breeders,10,2019
"Graders and sorters, agricultural products",88,2019
Miscellaneous agricultural workers,866,2019
Fishers and related fishing workers,36,2019
Hunters and trappers,0,2019
Forest and conservation workers,21,2019
Logging workers,66,2019
Construction and extraction occupations,8325,2019
First-line supervisors of construction trades and extraction workers,682,2019
Boilermakers,24,2019
"Brickmasons, blockmasons, and stonemasons",152,2019
Carpenters,1292,2019
"Carpet, floor, and tile installers and finishers",170,2019
"Cement masons, concrete finishers, and terrazzo workers",65,2019
Construction laborers,2051,2019
"Paving, surfacing, and tamping equipment operators",22,2019
Pile-driver operators,1,2019
Operating engineers and other construction equipment operators,375,2019
"Drywall installers, ceiling tile installers, and tapers",178,2019
Electricians,914,2019
Glaziers,38,2019
Insulation workers,59,2019
"Painters, construction and maintenance",599,2019
Paperhangers,7,2019
"Pipelayers, plumbers, pipefitters, and steamfitters",637,2019
Plasterers and stucco masons,23,2019
Reinforcing iron and rebar workers,6,2019
Roofers,222,2019
Sheet metal workers,140,2019
Structural iron and steel workers,66,2019
Solar photovoltaic installers,18,2019
"Helpers, construction trades",50,2019
Construction and building inspectors,105,2019
Elevator installers and repairers,20,2019
Fence erectors,41,2019
Hazardous materials removal workers,40,2019
Highway maintenance workers,113,2019
Rail-track laying and maintenance equipment operators,4,2019
Septic tank servicers and sewer pipe cleaners,8,2019
Miscellaneous construction and related workers,32,2019
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",29,2019
"Earth drillers, except oil and gas",22,2019
"Explosives workers, ordnance handling experts, and blasters",8,2019
Mining machine operators,56,2019
"Roof bolters, mining",1,2019
"Roustabouts, oil and gas",8,2019
Helpers--extraction workers,2,2019
Other extraction workers,46,2019
"Installation, maintenance, and repair occupations",4862,2019
"First-line supervisors of mechanics, installers, and repairers",272,2019
"Computer, automated teller, and office machine repairers",184,2019
Radio and telecommunications equipment installers and repairers,131,2019
Avionics technicians,13,2019
"Electric motor, power tool, and related repairers",16,2019
"Electrical and electronics installers and repairers, transportation equipment",7,2019
"Electrical and electronics repairers, industrial and utility",17,2019
"Electronic equipment installers and repairers, motor vehicles",9,2019
Electronic home entertainment equipment installers and repairers,32,2019
Security and fire alarm systems installers,58,2019
Aircraft mechanics and service technicians,152,2019
Automotive body and related repairers,125,2019
Automotive glass installers and repairers,21,2019
Automotive service technicians and mechanics,880,2019
Bus and truck mechanics and diesel engine specialists,347,2019
Heavy vehicle and mobile equipment service technicians and mechanics,211,2019
Small engine mechanics,45,2019
"Miscellaneous vehicle and mobile equipment mechanics, installers, and  repairers",73,2019
Control and valve installers and repairers,22,2019
"Heating, air conditioning, and refrigeration mechanics and installers",466,2019
Home appliance repairers,51,2019
Industrial and refractory machinery mechanics,408,2019
"Maintenance and repair workers, general",579,2019
"Maintenance workers, machinery",21,2019
Millwrights,52,2019
Electrical power-line installers and repairers,133,2019
Telecommunications line installers and repairers,184,2019
Precision instrument and equipment repairers,69,2019
Wind turbine service technicians,2,2019
"Coin, vending, and amusement machine servicers and repairers",28,2019
Commercial divers,2,2019
Locksmiths and safe repairers,32,2019
Manufactured building and mobile home installers,5,2019
Riggers,12,2019
Signal and track switch repairers,7,2019
"Helpers--installation, maintenance, and repair workers",19,2019
"Other installation, maintenance, and repair workers",179,2019
"Production, transportation, and material moving occupations",18628,2019
Production occupations,8565,2019
First-line supervisors of production and operating workers,844,2019
"Aircraft structure, surfaces, rigging, and systems assemblers",8,2019
"Electrical, electronics, and electromechanical assemblers",101,2019
Engine and other machine assemblers,9,2019
Structural metal fabricators and fitters,25,2019
Miscellaneous assemblers and fabricators,1001,2019
Bakers,228,2019
"Butchers and other meat, poultry, and fish processing workers",297,2019
"Food and tobacco roasting, baking, and drying machine operators and tenders",17,2019
Food batchmakers,82,2019
Food cooking machine operators and tenders,3,2019
"Food processing workers, all other",147,2019
Computer control programmers and operators,108,2019
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,2019
"Forging machine setters, operators, and tenders, metal and plastic",7,2019
