occupation,employment,year
"Electrical and electronics installers and repairers, transportation equipment",1,2021
"Electrical and electronics repairers, industrial and utility",13,2021
"Electronic equipment installers and repairers, motor vehicles",9,2021
Audiovisual equipment installers and repairers,22,2021
Security and fire alarm systems installers,72,2021
Aircraft mechanics and service technicians,150,2021
Automotive body and related repairers,123,2021
Automotive glass installers and repairers,28,2021
Automotive service technicians and mechanics,864,2021
Bus and truck mechanics and diesel engine specialists,362,2021
Heavy vehicle and mobile equipment service technicians and mechanics,248,2021
Small engine mechanics,43,2021
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",84,2021
Control and valve installers and repairers,20,2021
"Heating, air conditioning, and refrigeration mechanics and installers",445,2021
Home appliance repairers,49,2021
Industrial and refractory machinery mechanics,429,2021
"Maintenance and repair workers, general",614,2021
"Maintenance workers, machinery",29,2021
Millwrights,48,2021
Electrical power-line installers and repairers,125,2021
Telecommunications line installers and repairers,134,2021
Precision instrument and equipment repairers,68,2021
Wind turbine service technicians,11,2021
"Coin, vending, and amusement machine servicers and repairers",29,2021
Commercial divers,2,2021
Locksmiths and safe repairers,30,2021
Manufactured building and mobile home installers,1,2021
Riggers,6,2021
"Helpers--installation, maintenance, and repair workers",19,2021
"Other installation, maintenance, and repair workers",182,2021
"Production, transportation, and material moving occupations",19309,2021
Production occupations,7950,2021
First-line supervisors of production and operating workers,767,2021
"Aircraft structure, surfaces, rigging, and systems assemblers",6,2021
"Electrical, electronics, and electromechanical assemblers",110,2021
Engine and other machine assemblers,7,2021
Structural metal fabricators and fitters,13,2021
Other assemblers and fabricators,957,2021
Bakers,229,2021
"Butchers and other meat, poultry, and fish processing workers",246,2021
"Food and tobacco roasting, baking, and drying machine operators and tenders",9,2021
Food batchmakers,93,2021
Food cooking machine operators and tenders,8,2021
"Food processing workers, all other",144,2021
Computer numerically controlled tool operators and programmers,90,2021
"Forming machine setters, operators, and tenders, metal and plastic",25,2021
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",70,2021
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",32,2021
"Other machine tool setters, operators, and tenders, metal and plastic",8,2021
Machinists,323,2021
"Metal furnace operators, tenders, pourers, and casters",17,2021
"Model makers and patternmakers, metal and plastic",1,2021
"Molders and molding machine setters, operators, and tenders, metal and plastic",29,2021
Tool and die makers,43,2021
"Welding, soldering, and brazing workers",555,2021
Other metal workers and plastic workers,335,2021
Prepress technicians and workers,17,2021
Printing press operators,143,2021
Print binding and finishing workers,8,2021
Laundry and dry-cleaning workers,116,2021
"Pressers, textile, garment, and related materials",17,2021
Sewing machine operators,120,2021
Shoe and leather workers,18,2021
"Tailors, dressmakers, and sewers",58,2021
"Textile machine setters, operators, and tenders",12,2021
Upholsterers,20,2021
"Other textile, apparel, and furnishings workers",14,2021
Cabinetmakers and bench carpenters,67,2021
Furniture finishers,11,2021
"Sawing machine setters, operators, and tenders, wood",26,2021
"Woodworking machine setters, operators, and tenders, except sawing",16,2021
Other woodworkers,22,2021
"Power plant operators, distributors, and dispatchers",32,2021
Stationary engineers and boiler operators,66,2021
Water and wastewater treatment plant and system operators,99,2021
Miscellaneous plant and system operators,37,2021
"Chemical processing machine setters, operators, and tenders",72,2021
"Crushing, grinding, polishing, mixing, and blending workers",76,2021
Cutting workers,53,2021
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",25,2021
"Furnace, kiln, oven, drier, and kettle operators and tenders",13,2021
"Inspectors, testers, sorters, samplers, and weighers",829,2021
Jewelers and precious stone and metal workers,51,2021
Dental and ophthalmic laboratory technicians and medical appliance technicians,73,2021
Packaging and filling machine operators and tenders,253,2021
Painting workers,153,2021
Photographic process workers and processing machine operators,21,2021
Adhesive bonding machine operators and tenders,11,2021
Etchers and engravers,2,2021
"Molders, shapers, and casters, except metal and plastic",21,2021
"Paper goods machine setters, operators, and tenders",16,2021
Tire builders,8,2021
Helpers--production workers,53,2021
Other production equipment operators and tenders,6,2021
Other production workers,1178,2021
Transportation and material moving occupations,11359,2021
Supervisors of transportation and material moving workers,355,2021
Aircraft pilots and flight engineers,158,2021
Air traffic controllers and airfield operations specialists,31,2021
Flight attendants,105,2021
"Ambulance drivers and attendants, except emergency medical technicians",7,2021
"Bus drivers, school",276,2021
"Bus drivers, transit and intercity",241,2021
Driver/sales workers and truck drivers,3487,2021
Shuttle drivers and chauffeurs,57,2021
Taxi drivers,337,2021
"Motor vehicle operators, all other",163,2021
Locomotive engineers and operators,39,2021
Railroad conductors and yardmasters,39,2021
Other rail transportation workers,14,2021
Sailors and marine oilers,18,2021
Ship and boat captains and operators,26,2021
Ship engineers,3,2021
Parking attendants,71,2021
Transportation service attendants,89,2021
Transportation inspectors,36,2021
Passenger attendants,17,2021
Other transportation workers,30,2021
Crane and tower operators,56,2021
"Conveyor, dredge, and hoist and winch operators",35,2021
Industrial truck and tractor operators,623,2021
Cleaners of vehicles and equipment,301,2021
"Laborers and freight, stock, and material movers, hand",2161,2021
Machine feeders and offbearers,22,2021
"Packers and packagers, hand",742,2021
Stockers and order fillers,1652,2021
Pumping station operators,16,2021
Refuse and recyclable material collectors,87,2021
Other material moving workers,66,2021
Total employed,158291,2022
"Management,  professional, and related occupations",68099,2022
"Management, business, and financial operations occupations",29350,2022
Management occupations,20199,2022
Chief executives,1780,2022
General and operations managers,1165,2022
Legislators,14,2022
Advertising and promotions managers,68,2022
Marketing managers,656,2022
Sales managers,566,2022
Public relations and fundraising managers,131,2022
Administrative services managers,69,2022
Facilities managers,129,2022
Computer and information systems managers,764,2022
Financial managers,1380,2022
Compensation and benefits managers,18,2022
Human resources managers,295,2022
Training and development managers,63,2022
Industrial production managers,281,2022
Purchasing managers,234,2022
"Transportation, storage, and distribution managers",351,2022
"Farmers, ranchers, and other agricultural managers",946,2022
Construction managers,1057,2022
Education and childcare administrators,988,2022
Architectural and engineering managers,202,2022
Food service managers,1153,2022
Funeral home managers,8,2022
Entertainment and recreation managers,65,2022
Lodging managers,113,2022
Medical and health services managers,797,2022
Natural sciences managers,28,2022
Postmasters and mail superintendents,26,2022
"Property, real estate, and community association managers",835,2022
Social and community service managers,434,2022
Emergency management directors,22,2022
"Personal service managers, all other",6,2022
"Managers, all other",5557,2022
Business and financial operations occupations,9152,2022
"Agents and business managers of artists, performers, and athletes",39,2022
"Buyers and purchasing agents, farm products",4,2022
"Wholesale and retail buyers, except farm products",179,2022
"Purchasing agents, except wholesale, retail, and farm products",266,2022
"Claims adjusters, appraisers, examiners, and investigators",365,2022
Compliance officers,294,2022
Cost estimators,140,2022
Human resources workers,936,2022
"Compensation, benefits, and job analysis specialists",65,2022
Training and development specialists,157,2022
Logisticians,169,2022
Project management specialists,841,2022
Management analysts,1045,2022
"Meeting, convention, and event planners",159,2022
Fundraisers,76,2022
Market research analysts and marketing specialists,455,2022
"Business operations specialists, all other",409,2022
Accountants and auditors,1652,2022
Property appraisers and assessors,100,2022
Budget analysts,48,2022
Credit analysts,51,2022
Financial and investment analysts,387,2022
Personal financial advisors,543,2022
Insurance underwriters,105,2022
Financial examiners,19,2022
Credit counselors and loan officers,391,2022
"Tax examiners and collectors, and revenue agents",71,2022
Tax preparers,98,2022
Other financial specialists,87,2022
Professional and related occupations,38749,2022
Computer and mathematical occupations,6171,2022
Computer and information research scientists,41,2022
Computer systems analysts,501,2022
Information security analysts,178,2022
Computer programmers,457,2022
Software developers,2085,2022
Software quality assurance analysts and testers,83,2022
Web developers,79,2022
Web and digital interface designers,89,2022
Computer support specialists,704,2022
Database administrators and architects,137,2022
Network and computer systems administrators,217,2022
Computer network architects,98,2022
"Computer occupations, all other",969,2022
Actuaries,30,2022
Mathematicians,4,2022
Operations research analysts,135,2022
Statisticians,51,2022
Other mathematical science occupations,314,2022
Architecture and engineering occupations,3464,2022
"Architects, except landscape and naval",182,2022
Landscape architects,32,2022
"Surveyors, cartographers, and photogrammetrists",43,2022
Aerospace engineers,173,2022
Agricultural engineers,4,2022
Bioengineers and biomedical engineers,24,2022
Chemical engineers,75,2022
Civil engineers,482,2022
Computer hardware engineers,90,2022
Electrical and electronics engineers,296,2022
Environmental engineers,47,2022
"Industrial engineers, including health and safety",221,2022
Marine engineers and naval architects,8,2022
Materials engineers,48,2022
Mechanical engineers,403,2022
"Mining and geological engineers, including mining safety engineers",3,2022
Nuclear engineers,11,2022
Petroleum engineers,18,2022
"Engineers, all other",631,2022
Architectural and civil drafters,46,2022
Other drafters,80,2022
Electrical and electronic engineering technologists and technicians,90,2022
"Other engineering technologists and technicians, except drafters",374,2022
Surveying and mapping technicians,83,2022
"Life, physical, and social science occupations",1840,2022
Agricultural and food scientists,19,2022
Biological scientists,110,2022
Conservation scientists and foresters,29,2022
Medical scientists,147,2022
"Life scientists, all other",13,2022
Astronomers and physicists,26,2022
Atmospheric and space scientists,12,2022
Chemists and materials scientists,78,2022
"Environmental scientists and specialists, including health",33,2022
"Geoscientists and hydrologists, except geographers",43,2022
"Physical scientists, all other",442,2022
Economists,29,2022
Survey researchers,2,2022
Clinical and counseling psychologists,13,2022
School psychologists,48,2022
Other psychologists,154,2022
Sociologists,3,2022
Urban and regional planners,35,2022
Miscellaneous social scientists and related workers,57,2022
Agricultural and food science technicians,42,2022
Biological technicians,24,2022
Chemical technicians,51,2022
Environmental science and geoscience technicians,15,2022
Nuclear technicians,7,2022
Social science research assistants,5,2022
"Other life, physical, and social science technicians",320,2022
Community and social service occupations,2945,2022
Substance abuse and behavioral disorder counselors,137,2022
"Educational, guidance, and career counselors and advisors",408,2022
Marriage and family therapists,38,2022
Mental health counselors,195,2022
Rehabilitation counselors,21,2022
"Counselors, all other",248,2022
"Child, family, and school social workers",72,2022
Healthcare social workers,89,2022
Mental health and substance abuse social workers,24,2022
"Social workers, all other",731,2022
Probation officers and correctional treatment specialists,70,2022
Social and human service assistants,228,2022
Other community and social service specialists,112,2022
Clergy,434,2022
"Directors, religious activities and education",68,2022
"Religious workers, all other",68,2022
Legal occupations,1861,2022
Lawyers,1141,2022
Judicial law clerks,21,2022
"Judges, magistrates, and other judicial workers",68,2022
Paralegals and legal assistants,445,2022
"Title examiners, abstractors, and searchers",104,2022
"Legal support workers, all other",80,2022
"Education, training, and library occupations",9220,2022
Postsecondary teachers,1087,2022
Preschool and kindergarten teachers,645,2022
Elementary and middle school teachers,3336,2022
Secondary school teachers,1000,2022
Special education teachers,369,2022
Tutors,168,2022
Other teachers and instructors,805,2022
"Archivists, curators, and museum technicians",70,2022
Librarians and media collections specialists,168,2022
Library technicians,38,2022
Teaching assistants,1380,2022
Other educational instruction and library workers,155,2022
"Arts, design, entertainment, sports, and media occupations",3441,2022
Artists and related workers,324,2022
Commercial and industrial designers,10,2022
Fashion designers,22,2022
Floral designers,58,2022
Graphic designers,328,2022
Interior designers,125,2022
Merchandise displayers and window trimmers,29,2022
Other designers,375,2022
Actors,56,2022
Producers and directors,185,2022
Athletes and sports competitors,39,2022
Coaches and scouts,297,2022
"Umpires, referees, and other sports officials",32,2022
Dancers and choreographers,22,2022
Music directors and composers,45,2022
Musicians and singers,165,2022
"Disc jockeys, except radio",27,2022
"Entertainers and performers, sports and related workers, all other",42,2022
Broadcast announcers and radio disc jockeys,21,2022
"News analysts, reporters, and journalists",88,2022
Public relations specialists,120,2022
Editors,104,2022
Technical writers,53,2022
Writers and authors,277,2022
Interpreters and translators,94,2022
Court reporters and simultaneous captioners,32,2022
"Media and communication workers, all other",28,2022
"Broadcast, sound, and lighting technicians",118,2022
Photographers,210,2022
"Television, video, and film camera operators and editors",111,2022
"Media and communication equipment workers, all other",1,2022
Healthcare practitioners and technical occupations,9808,2022
Chiropractors,57,2022
Dentists,140,2022
Dietitians and nutritionists,141,2022
Optometrists,42,2022
Pharmacists,375,2022
Emergency medicine physicians,21,2022
Radiologists,26,2022
Other physicians,933,2022
Surgeons,48,2022
Physician assistants,160,2022
Podiatrists,13,2022
Audiologists,12,2022
Physical therapists,274,2022
Radiation therapists,16,2022
Recreational therapists,14,2022
Respiratory therapists,104,2022
Speech-language pathologists,171,2022
Exercise physiologists,5,2022
"Therapists, all other",254,2022
Veterinarians,83,2022
Registered nurses,3363,2022
Nurse anesthetists,37,2022
Nurse midwives,6,2022
Nurse practitioners,263,2022
Acupuncturists,28,2022
"Healthcare diagnosing or treating practitioners, all other",15,2022
Clinical laboratory technologists and technicians,333,2022
Dental hygienists,217,2022
Cardiovascular technologists and technicians,46,2022
Diagnostic medical sonographers,93,2022
Radiologic technologists and technicians,223,2022
Magnetic resonance imaging technologists,52,2022
Nuclear medicine technologists and medical dosimetrists,28,2022
Emergency medical technicians,139,2022
Paramedics,107,2022
Pharmacy technicians,355,2022
Psychiatric technicians,91,2022
Surgical technologists,93,2022
Veterinary technologists and technicians,148,2022
Dietetic technicians and ophthalmic medical technicians,68,2022
Licensed practical and licensed vocational nurses,588,2022
Medical records specialists,193,2022
"Opticians, dispensing",46,2022
Miscellaneous health technologists and technicians,146,2022
Other healthcare practitioners and technical occupations,91,2022
Service occupations,25438,2022
Healthcare support occupations,4930,2022
Home health aides,617,2022
Personal care aides,1407,2022
Nursing assistants,1236,2022
Orderlies and psychiatric aides,59,2022
Physical therapist assistants and aides,77,2022
Massage therapists,149,2022
Dental assistants,327,2022
Medical assistants,541,2022
Medical transcriptionists,38,2022
Pharmacy aides,45,2022
Veterinary assistants and laboratory animal caretakers,67,2022
Phlebotomists,114,2022
Other healthcare support workers,228,2022
Protective service occupations,3057,2022
First-line supervisors of correctional officers,47,2022
First-line supervisors of police and detectives,91,2022
First-line supervisors of firefighting and prevention workers,63,2022
First-line supervisors of security workers,74,2022
"First-line supervisors of protective service workers, all other",3,2022
Firefighters,307,2022
Fire inspectors,35,2022
Bailiffs,23,2022
Correctional officers and jailers,285,2022
Detectives and criminal investigators,142,2022
Fish and game wardens,8,2022
Parking enforcement workers,7,2022
Police officers,746,2022
Animal control workers,9,2022
Private detectives and investigators,105,2022
Security guards and gambling surveillance officers,835,2022
Crossing guards and flaggers,48,2022
Transportation security screeners,37,2022
School bus monitors,45,2022
Other protective service workers,147,2022
Food preparation and serving related occupations,7907,2022
Chefs and head cooks,465,2022
First-line supervisors of food preparation and serving workers,491,2022
Cooks,2012,2022
Food preparation workers,932,2022
Bartenders,457,2022
Fast food and counter workers,784,2022
Waiters and waitresses,1762,2022
"Food servers, nonrestaurant",200,2022
Dining room and cafeteria attendants and bartender helpers,269,2022
Dishwashers,235,2022
"Hosts and hostesses, restaurant, lounge, and coffee shop",293,2022
"Food preparation and serving related workers, all other",9,2022
Building and grounds cleaning and maintenance occupations,5576,2022
First-line supervisors of housekeeping and janitorial workers,314,2022
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",281,2022
Janitors and building cleaners,2183,2022
Maids and housekeeping cleaners,1364,2022
Pest control workers,100,2022
Landscaping and groundskeeping workers,1213,2022
Tree trimmers and pruners,104,2022
Other grounds maintenance workers,18,2022
Personal care and service occupations,3968,2022
Supervisors of personal care and service workers,232,2022
Animal trainers,66,2022
Animal caretakers,305,2022
Gambling services workers,74,2022
"Ushers, lobby attendants, and ticket takers",39,2022
Other entertainment attendants and related workers,237,2022
"Embalmers, crematory operators, and funeral attendants",28,2022
"Morticians, undertakers, and funeral arrangers",36,2022
Barbers,123,2022
"Hairdressers, hairstylists, and cosmetologists",720,2022
Manicurists and pedicurists,295,2022
Skincare specialists,96,2022
Other personal appearance workers,30,2022
"Baggage porters, bellhops, and concierges",78,2022
Tour and travel guides,58,2022
Childcare workers,1007,2022
Exercise trainers and group fitness instructors,234,2022
Recreation workers,158,2022
Residential advisors,28,2022
"Personal care and service workers, all other",122,2022
Sales and office occupations,30412,2022
Sales and related occupations,14316,2022
First-line supervisors of retail sales workers,3081,2022
First-line supervisors of non-retail sales workers,1203,2022
Cashiers,2712,2022
Counter and rental clerks,83,2022
Parts salespersons,108,2022
Retail salespersons,2582,2022
Advertising sales agents,130,2022
Insurance sales agents,614,2022
"Securities, commodities, and financial services sales agents",226,2022
Travel agents,71,2022
"Sales representatives of services, except advertising, insurance, financial services, and travel",615,2022
"Sales representatives, wholesale and manufacturing",1155,2022
"Models, demonstrators, and product promoters",23,2022
Real estate brokers and sales agents,1182,2022
Sales engineers,51,2022
Telemarketers,39,2022
"Door-to-door sales workers, news and street vendors, and related workers",73,2022
"Sales and related workers, all other",369,2022
Office and administrative support occupations,16096,2022
First-line supervisors of office and administrative support workers,1199,2022
"Switchboard operators, including answering service",16,2022
Telephone operators,26,2022
"Communications equipment operators, all other",5,2022
Bill and account collectors,103,2022
Billing and posting clerks,463,2022
"Bookkeeping, accounting, and auditing clerks",1132,2022
Gambling cage workers,23,2022
Payroll and timekeeping clerks,126,2022
Procurement clerks,30,2022
Tellers,218,2022
"Financial clerks, all other",128,2022
Brokerage clerks,8,2022
Correspondence clerks,3,2022
"Court, municipal, and license clerks",84,2022
"Credit authorizers, checkers, and clerks",45,2022
Customer service representatives,2714,2022
"Eligibility interviewers, government programs",80,2022
File Clerks,127,2022
"Hotel, motel, and resort desk clerks",132,2022
"Interviewers, except eligibility and loan",171,2022
"Library assistants, clerical",76,2022
Loan interviewers and clerks,169,2022
New accounts clerks,14,2022
Order clerks,124,2022
"Human resources assistants, except payroll and timekeeping",89,2022
Receptionists and information clerks,1171,2022
Reservation and transportation ticket agents and travel clerks,112,2022
"Information and record clerks, all other",93,2022
Cargo and freight agents,29,2022
Couriers and messengers,936,2022
Public safety telecommunicators,82,2022
"Dispatchers, except police, fire, and ambulance",181,2022
"Meter readers, utilities",16,2022
Postal service clerks,107,2022
Postal service mail carriers,280,2022
"Postal service mail sorters, processors, and processing machine operators",59,2022
"Production, planning, and expediting clerks",212,2022
"Shipping, receiving, and inventory clerks",645,2022
"Weighers, measurers, checkers, and samplers, recordkeeping",59,2022
Executive secretaries and executive administrative assistants,244,2022
Legal secretaries and administrative assistants,46,2022
Medical secretaries and administrative assistants,74,2022
"Secretaries and administrative assistants, except legal, medical, and executive",1915,2022
Data entry keyers,237,2022
Word processors and typists,35,2022
Desktop publishers,1,2022
Insurance claims and policy processing clerks,314,2022
"Mail clerks and mail machine operators, except postal service",53,2022
"Office clerks, general",1256,2022
"Office machine operators, except computer",29,2022
Proofreaders and copy markers,7,2022
Statistical assistants,17,2022
"Office and administrative support workers, all other",582,2022
"Natural resources, construction, and maintenance occupations",14260,2022
"Farming, fishing, and forestry occupations",980,2022
"First-line supervisors of farming, fishing, and forestry workers",52,2022
Agricultural inspectors,14,2022
Animal breeders,9,2022
"Graders and sorters, agricultural products",47,2022
Miscellaneous agricultural workers,753,2022
Fishing and hunting workers,32,2022
Forest and conservation workers,15,2022
Logging workers,57,2022
Construction and extraction occupations,8427,2022
First-line supervisors of construction trades and extraction workers,661,2022
Boilermakers,15,2022
"Brickmasons, blockmasons, and stonemasons",119,2022
Carpenters,1282,2022
"Carpet, floor, and tile installers and finishers",147,2022
"Cement masons, concrete finishers, and terrazzo workers",70,2022
Construction laborers,2227,2022
Construction equipment operators,369,2022
"Drywall installers, ceiling tile installers, and tapers",161,2022
Electricians,918,2022
Glaziers,32,2022
Insulation workers,52,2022
Painters and paperhangers,644,2022
Pipelayers,52,2022
"Plumbers, pipefitters, and steamfitters",610,2022
Plasterers and stucco masons,23,2022
Reinforcing iron and rebar workers,9,2022
Roofers,208,2022
Sheet metal workers,131,2022
Structural iron and steel workers,66,2022
Solar photovoltaic installers,28,2022
"Helpers, construction trades",54,2022
Construction and building inspectors,113,2022
Elevator and escalator installers and repairers,43,2022
Fence erectors,48,2022
Hazardous materials removal workers,25,2022
Highway maintenance workers,108,2022
Rail-track laying and maintenance equipment operators,17,2022
Septic tank servicers and sewer pipe cleaners,6,2022
Miscellaneous construction and related workers,32,2022
"Derrick, rotary drill, and service unit operators, oil and gas",26,2022
"Excavating and loading machine and dragline operators, surface mining",3,2022
"Earth drillers, except oil and gas",27,2022
"Explosives workers, ordnance handling experts, and blasters",7,2022
Underground mining machine operators,33,2022
"Roustabouts, oil and gas",10,2022
Other extraction workers,50,2022
"Installation, maintenance, and repair occupations",4853,2022
"First-line supervisors of mechanics, installers, and repairers",245,2022
"Computer, automated teller, and office machine repairers",177,2022
Radio and telecommunications equipment installers and repairers,112,2022
Avionics technicians,8,2022
"Electric motor, power tool, and related repairers",20,2022
"Electrical and electronics installers and repairers, transportation equipment",0,2022
"Electrical and electronics repairers, industrial and utility",15,2022
"Electronic equipment installers and repairers, motor vehicles",10,2022
Audiovisual equipment installers and repairers,26,2022
Security and fire alarm systems installers,67,2022
Aircraft mechanics and service technicians,149,2022
Automotive body and related repairers,151,2022
Automotive glass installers and repairers,27,2022
Automotive service technicians and mechanics,926,2022
Bus and truck mechanics and diesel engine specialists,347,2022
Heavy vehicle and mobile equipment service technicians and mechanics,224,2022
Small engine mechanics,51,2022
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",81,2022
Control and valve installers and repairers,18,2022
"Heating, air conditioning, and refrigeration mechanics and installers",472,2022
Home appliance repairers,46,2022
Industrial and refractory machinery mechanics,401,2022
"Maintenance and repair workers, general",646,2022
"Maintenance workers, machinery",19,2022
Millwrights,40,2022
Electrical power-line installers and repairers,119,2022
Telecommunications line installers and repairers,134,2022
Precision instrument and equipment repairers,53,2022
Wind turbine service technicians,9,2022
"Coin, vending, and amusement machine servicers and repairers",37,2022
Commercial divers,3,2022
Locksmiths and safe repairers,19,2022
Manufactured building and mobile home installers,4,2022
Riggers,10,2022
"Helpers--installation, maintenance, and repair workers",15,2022
"Other installation, maintenance, and repair workers",173,2022
"Production, transportation, and material moving occupations",20082,2022
Production occupations,8256,2022
First-line supervisors of production and operating workers,799,2022
"Aircraft structure, surfaces, rigging, and systems assemblers",6,2022
"Electrical, electronics, and electromechanical assemblers",102,2022
Engine and other machine assemblers,8,2022
Structural metal fabricators and fitters,20,2022
Other assemblers and fabricators,1047,2022
Bakers,230,2022
"Butchers and other meat, poultry, and fish processing workers",252,2022
"Food and tobacco roasting, baking, and drying machine operators and tenders",9,2022
Food batchmakers,94,2022
Food cooking machine operators and tenders,13,2022
"Food processing workers, all other",142,2022
Computer numerically controlled tool operators and programmers,78,2022
"Forming machine setters, operators, and tenders, metal and plastic",30,2022
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",60,2022
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",25,2022
"Other machine tool setters, operators, and tenders, metal and plastic",13,2022
Machinists,313,2022
"Metal furnace operators, tenders, pourers, and casters",18,2022
"Model makers and patternmakers, metal and plastic",0,2022
"Molders and molding machine setters, operators, and tenders, metal and plastic",20,2022
Tool and die makers,40,2022
"Welding, soldering, and brazing workers",550,2022
Other metal workers and plastic workers,387,2022
Prepress technicians and workers,21,2022
Printing press operators,151,2022
Print binding and finishing workers,7,2022
Laundry and dry-cleaning workers,115,2022
"Pressers, textile, garment, and related materials",21,2022
Sewing machine operators,131,2022
Shoe and leather workers,11,2022
"Tailors, dressmakers, and sewers",58,2022
"Textile machine setters, operators, and tenders",19,2022
Upholsterers,18,2022
"Other textile, apparel, and furnishings workers",19,2022
Cabinetmakers and bench carpenters,71,2022
Furniture finishers,14,2022
"Sawing machine setters, operators, and tenders, wood",27,2022
"Woodworking machine setters, operators, and tenders, except sawing",15,2022
Other woodworkers,25,2022
"Power plant operators, distributors, and dispatchers",23,2022
Stationary engineers and boiler operators,85,2022
Water and wastewater treatment plant and system operators,93,2022
Miscellaneous plant and system operators,38,2022
"Chemical processing machine setters, operators, and tenders",73,2022
"Crushing, grinding, polishing, mixing, and blending workers",76,2022
Cutting workers,57,2022
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",12,2022
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,2022
"Inspectors, testers, sorters, samplers, and weighers",781,2022
Jewelers and precious stone and metal workers,65,2022
Dental and ophthalmic laboratory technicians and medical appliance technicians,95,2022
Packaging and filling machine operators and tenders,304,2022
Painting workers,173,2022
Photographic process workers and processing machine operators,14,2022
Adhesive bonding machine operators and tenders,4,2022
Etchers and engravers,2,2022
"Molders, shapers, and casters, except metal and plastic",24,2022
"Paper goods machine setters, operators, and tenders",20,2022
Tire builders,9,2022
Helpers--production workers,65,2022
Other production equipment operators and tenders,6,2022
Other production workers,1246,2022
Transportation and material moving occupations,11826,2022
Supervisors of transportation and material moving workers,312,2022
Aircraft pilots and flight engineers,187,2022
Air traffic controllers and airfield operations specialists,35,2022
Flight attendants,116,2022
"Ambulance drivers and attendants, except emergency medical technicians",15,2022
"Bus drivers, school",250,2022
"Bus drivers, transit and intercity",245,2022
Driver/sales workers and truck drivers,3539,2022
Shuttle drivers and chauffeurs,59,2022
Taxi drivers,455,2022
"Motor vehicle operators, all other",193,2022
Locomotive engineers and operators,52,2022
Railroad conductors and yardmasters,38,2022
Other rail transportation workers,18,2022
Sailors and marine oilers,25,2022
Ship and boat captains and operators,41,2022
Ship engineers,6,2022
Parking attendants,68,2022
Transportation service attendants,91,2022
Transportation inspectors,44,2022
Passenger attendants,21,2022
Other transportation workers,47,2022
Crane and tower operators,60,2022
"Conveyor, dredge, and hoist and winch operators",29,2022
Industrial truck and tractor operators,636,2022
Cleaners of vehicles and equipment,350,2022
"Laborers and freight, stock, and material movers, hand",2244,2022
Machine feeders and offbearers,24,2022
"Packers and packagers, hand",719,2022
Stockers and order fillers,1722,2022
Pumping station operators,19,2022
Refuse and recyclable material collectors,112,2022
Other material moving workers,55,2022
Total employed,161037,2023
"Management, professional, and related occupations",70275,2023
"Management, business, and financial operations occupations",30544,2023
Management occupations,20906,2023
Chief executives,1780,2023
General and operations managers,1359,2023
Legislators,12,2023
Advertising and promotions managers,49,2023
Marketing managers,567,2023
Sales managers,569,2023
Public relations and fundraising managers,110,2023
Administrative services managers,78,2023
Facilities managers,149,2023
Computer and information systems managers,793,2023
Financial managers,1411,2023
Compensation and benefits managers,16,2023
Human resources managers,335,2023
Training and development managers,62,2023
Industrial production managers,279,2023
Purchasing managers,241,2023
"Transportation, storage, and distribution managers",382,2023
"Farmers, ranchers, and other agricultural managers",876,2023
Construction managers,1136,2023
Education and childcare administrators,1108,2023
Architectural and engineering managers,206,2023
Food service managers,1198,2023
Funeral home managers,10,2023
Entertainment and recreation managers,81,2023
Lodging managers,141,2023
Medical and health services managers,838,2023
Natural sciences managers,39,2023
Postmasters and mail superintendents,19,2023
"Property, real estate, and community association managers",880,2023
Social and community service managers,486,2023
Emergency management directors,12,2023
"Personal service managers, all other",16,2023
"Managers, all other",5666,2023
Business and financial operations occupations,9638,2023
"Agents and business managers of artists, performers, and athletes",50,2023
"Buyers and purchasing agents, farm products",13,2023
"Wholesale and retail buyers, except farm products",225,2023
"Purchasing agents, except wholesale, retail, and farm products",319,2023
"Claims adjusters, appraisers, examiners, and investigators",362,2023
Compliance officers,333,2023
Cost estimators,148,2023
Human resources workers,980,2023
"Compensation, benefits, and job analysis specialists",65,2023
Training and development specialists,138,2023
Logisticians,197,2023
Project management specialists,935,2023
Management analysts,1060,2023
"Meeting, convention, and event planners",169,2023
Fundraisers,102,2023
Market research analysts and marketing specialists,511,2023
"Business operations specialists, all other",531,2023
Accountants and auditors,1624,2023
Property appraisers and assessors,97,2023
Budget analysts,40,2023
Credit analysts,44,2023
Financial and investment analysts,395,2023
Personal financial advisors,506,2023
Insurance underwriters,108,2023
Financial examiners,21,2023
Credit counselors and loan officers,343,2023
"Tax examiners and collectors, and revenue agents",71,2023
Tax preparers,116,2023
Other financial specialists,135,2023
Professional and related occupations,39731,2023
Computer and mathematical occupations,6502,2023
Computer and information research scientists,44,2023
Computer systems analysts,513,2023
Information security analysts,231,2023
Computer programmers,402,2023
Software developers,2134,2023
Software quality assurance analysts and testers,76,2023
