occupation,avg_annual_growth,2019,2023,growth_2019_2023
Fire inspectors,2.380952380952381,21.0,23.0,9.523809523809524
"Management, professional, and related occupations",2.3579837428758292,64218.0,70275.0,9.431934971503317
Transportation security screeners,2.3255813953488373,43.0,47.0,9.30232558139535
Optometrists,2.3255813953488373,43.0,47.0,9.30232558139535
Architecture and engineering occupations,2.2465960665658096,3305.0,3602.0,8.986384266263238
Civil engineers,2.2105263157894735,475.0,517.0,8.842105263157894
Barbers,2.18978102189781,137.0,149.0,8.75912408759124
"Judges, magistrates, and other judicial workers",2.142857142857143,70.0,76.0,8.571428571428571
Construction laborers,2.096538274012677,2051.0,2223.0,8.386153096050707
"Directors, religious activities and education",2.083333333333333,72.0,78.0,8.333333333333332
"Securities, commodities, and financial services sales agents",1.948051948051948,231.0,249.0,7.792207792207792
Loan interviewers and clerks,1.9396551724137931,116.0,125.0,7.758620689655173
"Financial clerks, all other",1.8907563025210083,119.0,128.0,7.563025210084033
"Production, transportation, and material moving occupations",1.8225252308353017,18628.0,19986.0,7.290100923341207
"Religious workers, all other",1.8115942028985508,69.0,74.0,7.246376811594203
Registered nurses,1.7735965453423812,3242.0,3472.0,7.094386181369525
"Power plant operators, distributors, and dispatchers",1.744186046511628,43.0,46.0,6.976744186046512
"Managers, all other",1.7314587658048688,5299.0,5666.0,6.925835063219475
Professional and related occupations,1.6744098611595992,37237.0,39731.0,6.697639444638397
"Ambulance drivers and attendants, except emergency medical technicians",1.6666666666666667,15.0,16.0,6.666666666666667
"Agents and business managers of artists, performers, and athletes",1.5957446808510638,47.0,50.0,6.382978723404255
Insurance sales agents,1.5546218487394958,595.0,632.0,6.218487394957983
Purchasing managers,1.5418502202643172,227.0,241.0,6.167400881057269
"Other installation, maintenance, and repair workers",1.536312849162011,179.0,190.0,6.145251396648044
Automotive service technicians and mechanics,1.5056818181818181,880.0,933.0,6.0227272727272725
Community and social service occupations,1.4906146485093854,2717.0,2879.0,5.962458594037542
"Arts, design, entertainment, sports, and media occupations",1.4687975646879756,3285.0,3478.0,5.8751902587519025
Roofers,1.4639639639639639,222.0,235.0,5.8558558558558556
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",1.4285714285714286,70.0,74.0,5.714285714285714
Physical therapist assistants and aides,1.2376237623762376,101.0,106.0,4.9504950495049505
Electricians,1.2308533916849016,914.0,959.0,4.923413566739606
"Maintenance workers, machinery",1.1904761904761905,21.0,22.0,4.761904761904762
Locomotive engineers and operators,1.1904761904761905,42.0,44.0,4.761904761904762
Flight attendants,1.1363636363636365,110.0,115.0,4.545454545454546
Human resources managers,1.0903426791277258,321.0,335.0,4.361370716510903
Personal care aides,1.0802469135802468,1458.0,1521.0,4.320987654320987
Healthcare practitioners and technical occupations,1.0713548120611318,9684.0,10099.0,4.285419248244527
Pharmacists,0.9530791788856305,341.0,354.0,3.812316715542522
Social and community service managers,0.851063829787234,470.0,486.0,3.404255319148936
Reservation and transportation ticket agents and travel clerks,0.8403361344537815,119.0,123.0,3.361344537815126
"Molders, shapers, and casters, except metal and plastic",0.8064516129032258,31.0,32.0,3.225806451612903
Special education teachers,0.7552870090634441,331.0,341.0,3.0211480362537766
Social and human service assistants,0.7352941176470588,238.0,245.0,2.941176470588235
First-line supervisors of construction trades and extraction workers,0.7331378299120235,682.0,702.0,2.932551319648094
Insurance underwriters,0.7142857142857143,105.0,108.0,2.857142857142857
Speech-language pathologists,0.6944444444444444,180.0,185.0,2.7777777777777777
Glaziers,0.6578947368421052,38.0,39.0,2.631578947368421
Physical therapists,0.6578947368421052,304.0,312.0,2.631578947368421
Total employed,0.555262857215402,157538.0,161037.0,2.221051428861608
Bakers,0.5482456140350876,228.0,233.0,2.1929824561403506
Public relations specialists,0.5474452554744526,137.0,140.0,2.18978102189781
Other extraction workers,0.5434782608695652,46.0,47.0,2.1739130434782608
Preschool and kindergarten teachers,0.5343511450381679,655.0,669.0,2.1374045801526718
Industrial and refractory machinery mechanics,0.49019607843137253,408.0,416.0,1.9607843137254901
Industrial production managers,0.45620437956204374,274.0,279.0,1.824817518248175
First-line supervisors of non-retail sales workers,0.4210104250200481,1247.0,1268.0,1.6840417000801924
Automotive body and related repairers,0.4,125.0,127.0,1.6
Construction and extraction occupations,0.3963963963963964,8325.0,8457.0,1.5855855855855856
"Hosts and hostesses, restaurant, lounge, and coffee shop",0.38819875776397517,322.0,327.0,1.5527950310559007
"Weighers, measurers, checkers, and samplers, recordkeeping",0.3787878787878788,66.0,67.0,1.5151515151515151
