occupation,2019,2020,2021,2022,2023
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13.0,,,,
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1.0,,,,
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",27.0,23.0,25.0,12.0,14.0
Fabric and apparel patternmakers,0.0,,,,
Facilities managers,,134.0,146.0,129.0,149.0
"Farmers, ranchers, and other agricultural managers",962.0,901.0,875.0,946.0,876.0
"Farming, fishing, and forestry occupations",1156.0,1045.0,1061.0,980.0,987.0
Fashion designers,,34.0,33.0,22.0,39.0
Fast food and counter workers,,655.0,775.0,784.0,885.0
Fence erectors,41.0,36.0,41.0,48.0,40.0
File Clerks,,,161.0,127.0,130.0
File clerks,175.0,161.0,,,
Financial analysts,345.0,,,,
Financial and investment analysts,,351.0,343.0,387.0,395.0
"Financial clerks, all other",119.0,103.0,92.0,128.0,128.0
Financial examiners,21.0,25.0,16.0,19.0,21.0
Financial managers,1194.0,1309.0,1307.0,1380.0,1411.0
"Financial specialists, all other",57.0,,,,
Fire inspectors,21.0,27.0,30.0,35.0,23.0
Firefighters,318.0,335.0,294.0,307.0,296.0
First-line supervisors of construction trades and extraction workers,682.0,737.0,650.0,661.0,702.0
First-line supervisors of correctional officers,44.0,51.0,38.0,47.0,61.0
"First-line supervisors of farming, fishing, and forestry workers",51.0,53.0,49.0,52.0,70.0
First-line supervisors of fire fighting and prevention workers,42.0,,,,
First-line supervisors of firefighting and prevention workers,,33.0,44.0,63.0,50.0
First-line supervisors of food preparation and serving workers,597.0,466.0,480.0,491.0,542.0
First-line supervisors of gaming workers,211.0,,,,
First-line supervisors of housekeeping and janitorial workers,352.0,321.0,338.0,314.0,321.0
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",285.0,253.0,233.0,281.0,283.0
"First-line supervisors of mechanics, installers, and repairers",272.0,226.0,222.0,245.0,239.0
First-line supervisors of non-retail sales workers,1247.0,1176.0,1184.0,1203.0,1268.0
First-line supervisors of office and administrative support workers,1306.0,1273.0,1217.0,1199.0,1154.0
First-line supervisors of personal service workers,213.0,,,,
First-line supervisors of police and detectives,83.0,100.0,92.0,91.0,103.0
First-line supervisors of production and operating workers,844.0,748.0,767.0,799.0,776.0
"First-line supervisors of protective service workers, all other",78.0,7.0,5.0,3.0,4.0
First-line supervisors of retail sales workers,3232.0,3067.0,3058.0,3081.0,3157.0
First-line supervisors of security workers,,68.0,75.0,74.0,71.0
Fish and game wardens,4.0,4.0,6.0,8.0,6.0
Fishers and related fishing workers,36.0,,,,
Fishing and hunting workers,,35.0,31.0,32.0,26.0
Flight attendants,110.0,81.0,105.0,116.0,115.0
Floral designers,,50.0,50.0,58.0,63.0
"Food and tobacco roasting, baking, and drying machine operators and tenders",17.0,10.0,9.0,9.0,8.0
Food batchmakers,82.0,94.0,93.0,94.0,79.0
Food cooking machine operators and tenders,3.0,13.0,8.0,13.0,10.0
Food preparation and serving related occupations,8378.0,6556.0,7370.0,7907.0,8189.0
"Food preparation and serving related workers, all other",7.0,3.0,2.0,9.0,9.0
Food preparation workers,1079.0,808.0,872.0,932.0,933.0
"Food processing workers, all other",147.0,125.0,144.0,142.0,140.0
"Food servers, nonrestaurant",191.0,157.0,172.0,200.0,215.0
